@relation segment

@attribute original numeric
@attribute Lipschitz_true_true_5.0 numeric
@attribute Lipschitz_true_true_10.0 numeric
@attribute Lipschitz_true_true_15.0 numeric
@attribute Lipschitz_true_true_20.0 numeric
@attribute Lipschitz_true_true_25.0 numeric
@attribute 'Kuwahara_9_ 10_0' numeric
@attribute 'Kuwahara_9_ 10_1' numeric
@attribute 'Kuwahara_9_ 10_2' numeric
@attribute Gabor_1_1.0_1.0_0_2.0 numeric
@attribute Gabor_2_1.0_1.0_0_2.0 numeric
@attribute Gabor_1_1.0_0.5_0_2.0 numeric
@attribute Gabor_2_1.0_0.5_0_2.0 numeric
@attribute Gabor_1_1.0_0.25_0_2.0 numeric
@attribute Gabor_2_1.0_0.25_0_2.0 numeric
@attribute Gabor_1_1.0_1.0_2_2.0 numeric
@attribute Gabor_2_1.0_1.0_2_2.0 numeric
@attribute Gabor_1_1.0_0.5_2_2.0 numeric
@attribute Gabor_2_1.0_0.5_2_2.0 numeric
@attribute Gabor_1_1.0_0.25_2_2.0 numeric
@attribute Gabor_2_1.0_0.25_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_2.0 numeric
@attribute Gabor_2_2.0_1.0_0_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_3.0 numeric
@attribute Gabor_2_2.0_1.0_0_3.0 numeric
@attribute Gabor_1_2.0_2.0_0_2.0 numeric
@attribute Gabor_2_2.0_2.0_0_2.0 numeric
@attribute Gabor_1_2.0_2.0_0_3.0 numeric
@attribute Gabor_2_2.0_2.0_0_3.0 numeric
@attribute Gabor_1_4.0_1.0_0_2.0 numeric
@attribute Gabor_2_4.0_1.0_0_2.0 numeric
@attribute Gabor_1_4.0_1.0_0_3.0 numeric
@attribute Gabor_2_4.0_1.0_0_3.0 numeric
@attribute Gabor_1_4.0_2.0_0_2.0 numeric
@attribute Gabor_2_4.0_2.0_0_2.0 numeric
@attribute Gabor_1_4.0_2.0_0_3.0 numeric
@attribute Gabor_2_4.0_2.0_0_3.0 numeric
@attribute Gabor_1_2.0_1.0_2_2.0 numeric
@attribute Gabor_2_2.0_1.0_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_2_3.0 numeric
@attribute Gabor_2_2.0_1.0_2_3.0 numeric
@attribute Gabor_1_2.0_2.0_2_2.0 numeric
@attribute Gabor_2_2.0_2.0_2_2.0 numeric
@attribute Gabor_1_2.0_2.0_2_3.0 numeric
@attribute Gabor_2_2.0_2.0_2_3.0 numeric
@attribute Gabor_1_4.0_1.0_2_2.0 numeric
@attribute Gabor_2_4.0_1.0_2_2.0 numeric
@attribute Gabor_1_4.0_1.0_2_3.0 numeric
@attribute Gabor_2_4.0_1.0_2_3.0 numeric
@attribute Gabor_1_4.0_2.0_2_2.0 numeric
@attribute Gabor_2_4.0_2.0_2_2.0 numeric
@attribute Gabor_1_4.0_2.0_2_3.0 numeric
@attribute Gabor_2_4.0_2.0_2_3.0 numeric
@attribute Hessian_6.0 numeric
@attribute Hessian_Trace_6.0 numeric
@attribute Hessian_Determinant_6.0 numeric
@attribute Hessian_Eigenvalue_1_6.0 numeric
@attribute Hessian_Eigenvalue_2_6.0 numeric
@attribute Hessian_Orientation_6.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_6.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_6.0 numeric
@attribute Hessian_12.0 numeric
@attribute Hessian_Trace_12.0 numeric
@attribute Hessian_Determinant_12.0 numeric
@attribute Hessian_Eigenvalue_1_12.0 numeric
@attribute Hessian_Eigenvalue_2_12.0 numeric
@attribute Hessian_Orientation_12.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_12.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_12.0 numeric
@attribute Difference_of_gaussians_12.0_6.0 numeric
@attribute Membrane_projections_0_9_1 numeric
@attribute Membrane_projections_1_9_1 numeric
@attribute Membrane_projections_2_9_1 numeric
@attribute Membrane_projections_3_9_1 numeric
@attribute Membrane_projections_4_9_1 numeric
@attribute Membrane_projections_5_9_1 numeric
@attribute class {cell,back}

@data
9,255,255,255,255,255,9.5,9.5,9.5,-0.523229,-0.560361,-0.563662,-0.576867,-0.57857,-0.587248,0.034917,-0.147993,0.021248,-0.077579,0.058165,-0.089744,-0.526798,-0.568244,-0.126765,-0.539898,-0.518029,-0.552466,-0.114639,-0.446169,-0.532359,-0.551575,-0.180228,-0.318735,-0.515229,-0.532258,-0.138495,-0.234393,0.036171,-0.054874,0.092333,-0.147139,0.007205,-0.019987,0.071594,-0.17867,0.060227,-0.069027,0.0732,-0.060819,0.072345,-0.066781,0.047985,-0.036212,0.522829,-0.083651,-0.146046,0.300791,-0.468093,-1.355549,0.004137,0.591183,0.063101,0.056442,-0.000586,0.09363,0.019255,-1.296153,0.000018,0.005532,-0.021549,8.435462,8.6875,8.210526,84.354622,0.162351,8.416409,back
8,255,255,255,255,255,8.388889,8.611111,8.611111,-0.564273,-0.582602,-0.574264,-0.579978,-0.58321,-0.589071,0.0874,-0.222567,0.089143,-0.158408,0.061738,-0.148938,-0.540023,-0.566197,-0.226427,-0.532031,-0.533993,-0.557396,-0.189385,-0.429926,-0.537613,-0.555846,-0.191506,-0.331665,-0.522937,-0.539866,-0.166579,-0.241866,0.091457,-0.124829,0.103624,-0.276393,0.110775,-0.11394,0.134804,-0.290197,0.05371,-0.055222,0.057381,-0.049727,0.061815,-0.057772,0.069671,-0.064622,0.663141,0.413919,-0.136535,0.837438,-0.009599,-1.48999,0.122924,0.71747,0.076928,0.098761,0.001802,0.123988,0.073533,-1.246891,0.000025,0.002546,-0.044163,8.323921,8.666667,8.1875,83.239212,0.144887,8.278638,back
8,255,255,255,255,255,8.5,8.5,8.5,-0.55757,-0.593122,-0.580482,-0.587924,-0.586667,-0.594834,0.128977,-0.10155,0.113587,-0.115966,0.113979,-0.088966,-0.566754,-0.580383,-0.330629,-0.587339,-0.561161,-0.571315,-0.261332,-0.55205,-0.542229,-0.560446,-0.23112,-0.341902,-0.528652,-0.547382,-0.209107,-0.250365,0.111075,-0.117322,0.192954,-0.194794,0.116549,-0.109786,0.199664,-0.177393,0.048984,-0.048152,0.057737,-0.05696,0.046125,-0.047969,0.076425,-0.056608,0.971945,0.978954,0.003514,1.464828,0.49308,-1.48651,0.904966,0.944294,0.079999,0.111891,0.003008,0.122946,0.100835,-0.589154,0.000006,0.000489,-0.059074,8.153719,8.25,8,81.537193,0.073715,8.157895,back
8,255,255,255,255,255,8.5,8.5,8.5,-0.562529,-0.598781,-0.583911,-0.593139,-0.592031,-0.59943,0.124039,-0.114449,0.062508,-0.057213,0.06509,-0.069942,-0.563478,-0.584557,-0.339087,-0.563845,-0.556263,-0.572908,-0.25737,-0.514542,-0.540106,-0.569046,-0.221706,-0.357138,-0.527834,-0.55331,-0.194529,-0.285019,0.058141,-0.036996,0.214761,-0.138111,0.056621,-0.045857,0.217506,-0.125952,0.035892,-0.04721,0.066747,-0.084199,0.012731,-0.026944,0.05357,-0.053924,0.661873,0.821637,0.075975,1.126263,0.517011,-0.638953,0.250585,0.371188,0.116566,0.073345,-0.004107,0.147185,-0.000495,0.017801,0.000117,0.02181,-0.040172,7.998277,8.117647,7.833333,79.982773,0.106848,7.973684,back
8,255,255,255,255,255,8.5,8.5,8.5,-0.557122,-0.587246,-0.581988,-0.593508,-0.591305,-0.602681,0.000767,-0.138167,0.008763,-0.07168,0.052901,-0.090223,-0.54537,-0.586423,-0.238479,-0.578985,-0.533714,-0.569609,-0.154115,-0.471045,-0.534285,-0.572284,-0.16551,-0.362623,-0.522938,-0.555874,-0.135606,-0.295683,0.027495,-0.064291,0.031863,-0.187825,0.012749,-0.065752,0.043746,-0.220689,0.030851,-0.048622,0.064499,-0.088771,0.013939,-0.029444,0.057375,-0.074231,0.968477,0.170441,-0.503752,0.885293,-0.544412,-0.227395,0.05938,2.044057,0.152545,0.044131,-0.01072,0.149995,-0.061732,0.051405,0.000087,0.044829,-0.015108,7.966189,8.125,7.722222,79.661888,0.140203,8,back
8,255,255,255,255,255,8.5,8.5,8.5,-0.572775,-0.583539,-0.585832,-0.594681,-0.593385,-0.605549,0.103888,-0.158041,0.052555,-0.099392,0.032385,-0.087138,-0.545733,-0.590028,-0.296087,-0.563555,-0.541167,-0.580062,-0.265579,-0.4826,-0.531909,-0.574669,-0.121048,-0.365308,-0.520584,-0.558253,-0.096587,-0.321324,0.021553,-0.102445,0.055398,-0.27394,0.038324,-0.128378,0.055449,-0.347978,0.030274,-0.051149,0.02319,-0.08387,0.028345,-0.044366,0.010405,-0.096386,1.505529,-0.248253,-1.124707,0.819508,-1.316014,-0.099352,0.281059,4.560456,0.178853,0.025313,-0.015877,0.15195,-0.101323,0.079825,0.000041,0.064147,0.001454,7.933154,8.1875,7.722222,79.331543,0.152514,7.894737,back
8,255,255,255,255,255,8.5,8.5,8.5,-0.586305,-0.59069,-0.591689,-0.597175,-0.597542,-0.608199,0.021157,-0.220401,0.049822,-0.123729,0.055292,-0.101716,-0.558672,-0.593358,-0.341777,-0.581154,-0.563057,-0.593868,-0.352316,-0.521346,-0.533522,-0.576303,-0.11718,-0.36225,-0.524687,-0.561864,-0.105145,-0.344497,0.064562,-0.108203,0.036518,-0.22581,0.064647,-0.128353,0.035838,-0.297919,0.04684,-0.064858,0.011699,-0.077444,0.047513,-0.064555,0.034166,-0.110427,1.563962,-0.104764,-1.217576,0.999917,-1.209445,-0.005563,0.053574,4.881278,0.184937,0.025268,-0.017221,0.157102,-0.106567,0.113374,0.000044,0.069521,-0.000974,7.814852,8.055555,7.666667,78.148521,0.136344,7.743421,back
8,255,255,255,255,255,8.5,8.5,8.5,-0.576178,-0.59567,-0.595455,-0.601964,-0.602425,-0.609367,0.086735,-0.214135,0.086874,-0.122678,0.087596,-0.111685,-0.572369,-0.592075,-0.34484,-0.613814,-0.571296,-0.585657,-0.32867,-0.553648,-0.539864,-0.574677,-0.146504,-0.338604,-0.530059,-0.561406,-0.143149,-0.29682,0.082322,-0.116191,0.087074,-0.10691,0.085952,-0.110743,0.118481,-0.103735,0.062076,-0.085607,0.048323,-0.11053,0.061117,-0.087714,0.050849,-0.128701,1.062557,-0.252884,-0.562624,0.507781,-1.013549,0.164171,0.148009,2.314446,0.186907,0.049591,-0.017152,0.182881,-0.083699,0.163277,0.000175,0.071065,0.002225,7.705033,7.944445,7.588235,77.050331,0.10461,7.696692,back
7,255,255,255,255,255,7.409091,8.409091,8.409091,-0.592557,-0.627184,-0.600498,-0.607295,-0.609009,-0.613096,0.096206,-0.097977,0.079018,-0.092533,0.07655,-0.102616,-0.581556,-0.600514,-0.443367,-0.64496,-0.581337,-0.598424,-0.503952,-0.646978,-0.550801,-0.573815,-0.195989,-0.333358,-0.535575,-0.559044,-0.150485,-0.263711,0.060718,-0.106383,0.116808,-0.04787,0.047542,-0.089824,0.114299,-0.020545,0.078082,-0.098579,0.059801,-0.125912,0.083336,-0.095468,0.064685,-0.129372,0.699332,-0.143309,-0.419122,0.508041,-0.794658,0.602045,0.034852,1.697026,0.171619,0.09049,-0.012332,0.210405,-0.029424,0.253907,0.000471,0.057518,-0.006492,7.535716,7.6875,7.411765,75.357155,0.106077,7.53125,back
8,255,255,255,255,255,8.388889,8.388889,8.388889,-0.579503,-0.598287,-0.603308,-0.609607,-0.611986,-0.617472,0.150252,-0.170464,0.011471,-0.035432,0.041035,-0.083486,-0.579362,-0.605321,-0.33637,-0.563986,-0.56819,-0.59404,-0.309068,-0.465309,-0.565073,-0.579496,-0.209665,-0.362513,-0.550173,-0.564536,-0.15866,-0.303852,0.036576,-0.066777,0.200944,-0.195491,0.013494,-0.015656,0.250918,-0.247049,0.083036,-0.096325,0.049449,-0.092573,0.084211,-0.090123,0.052238,-0.083782,1.069827,0.765856,-0.670751,1.669949,-0.138237,0.887906,1.917699,3.269538,0.163007,0.162494,-0.002411,0.257423,0.067565,0.400913,0.000952,0.036046,-0.049565,7.410135,7.722222,7.105263,74.101349,0.172941,7.370915,back
